word,Orthography,bucket_q,uni_prob,bi_prob_smoothed,group
f u p1 o1,fupó,uni1-bi4,-18.23504437,-13.902008,3
t͡ʃ1 a1 ɲ a,chaña,uni1-bi4,-19.0805996,-13.95992595,4
s1 u1 t͡ʃ o,sucho,uni1-bi4,-17.26573932,-13.8074898,5
f1 e1 t͡ʃ o,fecho,uni1-bi4,-18.22994714,-14.25159456,1
t͡ʃ1 a1 ɲ o,chaño,uni1-bi4,-19.27427305,-14.30232419,2
g1 u1 t͡ʃ a,gucha,uni1-bi4,-18.58334813,-13.3559157,3
p u t͡ʃ1 o1,puchó,uni1-bi4,-18.74096266,-13.82929235,4
r1 u1 t͡ʃ o,rucho,uni1-bi4,-19.4475126,-13.9656272,5
r1 o1 r o,rorro,uni1-bi4,-17.24411623,-14.28874874,1
p1 u1 t͡ʃ o,pucho,uni1-bi4,-18.38726118,-12.98141639,2
m1 e1 ɲ a,meña,uni1-bi4,-17.62242658,-12.57355737,3
k u t͡ʃ1 o1,cuchó,uni1-bi4,-18.38208372,-12.75945654,4
u1 i1 r i,huiri,uni2-bi1,-15.68762997,-25.12670369,5
n i f1 u1,nifú,uni2-bi1,-16.62703364,-19.95569242,1
i1 u1 b u,yubu,uni2-bi1,-15.98727697,-23.03369544,2
t1 e1 f u,tefu,uni2-bi1,-16.8545254,-21.38356425,3
ɲ1 a1 t i,ñati,uni2-bi1,-16.63620967,-21.43950402,4
l1 i1 r u,lirru,uni2-bi1,-16.78104809,-24.31089601,5
u1 o1 t u,huotu,uni2-bi1,-16.04306768,-24.91270518,1
g1 e1 i u,gueyu,uni2-bi1,-16.09261594,-24.22078231,2
i1 u1 l u,yulu,uni2-bi1,-15.71368625,-24.42506832,3
u1 o1 ɾ u,huoru,uni2-bi1,-16.02022775,-24.64138327,4
m1 a1 p u,mapu,uni2-bi1,-15.924008,-19.93094803,5
l1 e1 b u,lebu,uni2-bi1,-16.15897474,-19.89964062,1
f1 e1 i u,feyu,uni2-bi1,-16.61049356,-22.98304401,2
p1 o1 i u,poyu,uni2-bi1,-16.20233473,-21.41646286,3
g a u1 o1,gahuó,uni2-bi1,-15.80509676,-21.46183984,4
n1 i1 r u,niru,uni2-bi1,-15.94859513,-26.01571559,5
x1 i1 s u,gisu,uni2-bi1,-15.76220008,-19.96898805,1
l1 i1 p u,lipu,uni2-bi1,-15.97183251,-21.3576917,2
x o u1 o1,johuó,uni2-bi1,-16.41664973,-24.18161328,3
u1 i1 r u,huiru,uni2-bi1,-16.78192259,-26.9177371,4
u1 o1 u i,huohui,uni2-bi1,-15.85238627,-28.35365474,5
n1 u1 m u,numu,uni2-bi1,-16.15077387,-23.00215506,1
