vowel_stress_word,uni_prob,bi_prob_smoothed,response,exp,condition
ˈɲibi,-16.423269735675817,-26.042513041972292,-0.44967974176746,bi_contrast,low
ˈwodu,-16.643796479810355,-26.254301874470286,-0.7154894976609211,bi_contrast,low
woˈja,-14.495623054762817,-23.369296469134124,-0.4843541667827287,bi_contrast,low
ɲuˈja,-16.750760937545692,-26.233431130252903,-0.6395998423161394,bi_contrast,low
naˈwi,-14.221105336468948,-22.921182842089912,-0.5166695122632721,bi_contrast,low
ˈwoju,-17.1621267618612,-26.69211629227248,-0.8148715524869055,bi_contrast,low
ˈwiri,-16.85356134278075,-26.107309961720173,-0.3759162232756554,bi_contrast,low
ɲuˈbu,-18.557228257875423,-28.25292971648116,-0.5624075212586114,bi_contrast,low
naˈɲa,-13.985598614455055,-22.30442355760796,-0.11422040195492511,bi_contrast,low
ˈɲise,-14.28720196147119,-22.647607862552768,-0.06567881897507816,bi_contrast,low
ˈɲano,-14.17935216703903,-22.480020060015573,-0.0101818934140797,bi_contrast,low
ˈnoju,-14.761174461402817,-23.176997312938205,-0.5059836665171474,bi_contrast,low
ˈwotu,-16.440115626453153,-25.3151245196922,-0.9238014139089629,bi_contrast,low
saˈwa,-13.012183694472297,-20.76336277232011,-0.5103258435600632,bi_contrast,low
ˈnawi,-14.445467256304548,-22.586183250270047,-0.566205910426458,bi_contrast,low
ˈnedu,-13.749688429464245,-21.71652197859592,-0.008816498345095672,bi_contrast,low
ˈniwi,-15.198732038860078,-23.51699310245045,-0.7745380238720452,bi_contrast,low
jeˈwi,-15.0591297086361,-23.22891602699177,-0.6538765806064187,bi_contrast,low
ˈliru,-15.911892925593564,-24.297807538773483,-0.5019301156136884,bi_contrast,low
neˈju,-13.838629257943245,-21.608112834292744,-0.18310896100367027,bi_contrast,low
woˈɾa,-13.425155898728372,-21.015317161611495,-0.6787303652605259,bi_contrast,low
ˈwoɾu,-16.091659605826756,-24.454391982908753,-0.5316088937866329,bi_contrast,low
saˈwi,-13.765448477027828,-21.39090885114027,-0.7076703359582431,bi_contrast,low
ˈwopu,-17.12324573793021,-25.727948271598027,-0.6883688309023661,bi_contrast,low
ˈwawi,-16.846419556762932,-25.358823026286775,-0.7110423582533,bi_contrast,low
ˈnewi,-14.881435391273955,-22.81125898686156,-0.39068517552715487,bi_contrast,low
ɲuˈga,-17.412508642773478,-25.97375049375524,-0.5780635490561736,bi_contrast,low
ˈwolu,-16.83387502443288,-25.185847525581995,-0.6737657488461878,bi_contrast,low
saˈwo,-13.94130757932944,-21.39968032798641,-0.7411455519841195,bi_contrast,low
ˈɲita,-14.85088120986796,-22.63993044953436,0.041874763947649524,bi_contrast,low
ˈniwo,-14.414858889052924,-22.01732305475862,-0.5976304457221759,bi_contrast,low
ˈwobu,-17.034877449869878,-25.41385760338727,-0.8451049426617906,bi_contrast,low
ˈwaju,-16.233002877004058,-24.385736202355655,-0.3753915512996548,bi_contrast,low
seˈwa,-13.016179118374025,-20.136606915425645,-0.8386665889053704,bi_contrast,low
noˈwi,-14.414858889052924,-21.954654153887137,-0.5474279852514374,bi_contrast,low
ˈwowi,-17.775543441620073,-26.23663327193548,-0.5802048715338841,bi_contrast,low
ˈwomu,-16.82985973505397,-24.992544564345007,-0.6304713931099489,bi_contrast,low
