word,bucket_q,uni_prob,bi_prob_smoothed
l1 u1 l e,uni3-bi3,-15.141536508192893,-15.169103793666311
l i g1 a1,uni3-bi3,-15.102023542378776,-14.86256228509274
d e l1 u1,uni3-bi3,-14.947458408746712,-16.466208287397354
g o d1 a1,uni3-bi3,-14.915114236838589,-16.142668172165347
i e r1 e1,uni3-bi3,-14.954307382950056,-15.784572419311594
t o r1 a1,uni3-bi3,-14.904079431782357,-15.516291149794618
b u i1 e1,uni3-bi3,-14.922324914422692,-15.200705911754506
m u t1 a1,uni3-bi3,-14.958406732608315,-14.870573065916217
n1 u1 p o,uni3-bi3,-14.756846176094475,-16.485226793085296
d i p1 i1,uni3-bi3,-14.775263988953544,-16.13734597150355
n1 i1 x a,uni3-bi3,-14.71759733953538,-15.826560818362026
k i m1 i1,uni3-bi3,-14.727915380712613,-15.49809402367714
f e n1 e1,uni3-bi3,-14.74348967879134,-15.22585455998407
l e x1 a1,uni3-bi3,-14.73079470524084,-14.861476223053392
i1 e1 f o,uni3-bi3,-14.528034663818044,-16.47067088868785
n1 u1 p a,uni3-bi3,-14.56317272286612,-16.170460487443112
f o s1 a1,uni3-bi3,-14.564334377765253,-15.834999246593975
i u s1 e1,uni3-bi3,-14.58133367817943,-15.482296431744317
b o m1 i1,uni3-bi3,-14.57559918768741,-15.199193750936193
s1 a1 f o,uni3-bi3,-14.564334377765253,-14.913352247181296
i1 o1 x u,uni2-bi2,-16.799183101473922,-19.224863648708272
f1 o1 p i,uni2-bi2,-16.80805233874614,-18.790028099411057
x e l1 u1,uni2-bi2,-16.792506222346102,-18.298373482070375
t1 u1 f i,uni2-bi2,-16.82518482533816,-17.861879499285816
tʃ o l1 i1,uni2-bi2,-16.798913873213635,-17.37999712923247
t u f1 e1,uni2-bi2,-16.801174970879888,-16.9722617678572
r1 o1 u a,uni2-bi2,-16.543147608981457,-19.22070445304739
u i f1 e1,uni2-bi2,-16.61049355934656,-18.781799097660738
r1 o1 k i,uni2-bi2,-16.601786802749796,-18.31872906044041
f o f1 a1,uni2-bi2,-16.59349425893238,-17.835745814743227
t i x1 u1,uni2-bi2,-16.597234889670364,-17.4282164067369
n1 e1 ɲ e,uni2-bi2,-16.585650779396463,-16.971862586921315
k1 e1 f i,uni2-bi2,-16.36812766276951,-19.26299804493866
ɲ1 i1 t o,uni2-bi2,-16.367523525111757,-18.752914229486997
b1 e1 f i,uni2-bi2,-16.34940928751522,-18.293318698551676
t o r1 u1,uni2-bi2,-16.39868271364437,-17.83374990138106
k1 i1 x i,uni2-bi2,-16.347166914595036,-17.40478141102035
tʃ e l1 a1,uni2-bi2,-16.35309306770192,-16.942177578287268
x o n1 u1,uni2-bi2,-16.148795131260904,-19.205463565768383
ɲ1 o1 s a,uni2-bi2,-16.15409844861966,-18.756554745250742
ɲ1 o1 s e,uni2-bi2,-16.159030039701143,-18.324836290787545
s u m1 u1,uni2-bi2,-16.125117383101447,-17.858809192200287
l1 u1 b i,uni2-bi2,-16.129634174265444,-17.40612052847511
r o f1 a1,uni2-bi2,-16.162372417230856,-16.951101907493484
b1 e1 l u,uni2-bi2,-15.944343734194184,-19.196031950532337
n i tʃ1 a1,uni2-bi2,-15.9710480485368,-18.72813993238856
n o ɲ1 a1,uni2-bi2,-15.96564381821938,-18.306934540920537
m1 a1 b u,uni2-bi2,-15.938577959080565,-17.84375435444428
b o p1 u1,uni2-bi2,-15.95469205635375,-17.429670491688036
g i b1 i1,uni2-bi2,-15.9105690280842,-16.963768648109518
x1 a1 p i,uni2-bi2,-15.7043224136089,-19.226914477530784
t1 e1 f i,uni2-bi2,-15.760232768324048,-18.764485357265173
m1 e1 t u,uni2-bi2,-15.751968420423427,-18.33953659582875
n u g1 a1,uni2-bi2,-15.708845359561067,-17.854873761130825
x e u1 e1,uni2-bi2,-15.72842867347692,-17.428427315815526
u1 i1 x o,uni2-bi2,-15.744598254140737,-16.97070395033047
tʃ u ɲ1 a1,uni1-bi2,-20.77933218468973,-19.21544621066768
tʃ u ɲ1 o1,uni1-bi2,-21.708462599126925,-19.019218764481803
tʃ u tʃ1 e1,uni1-bi2,-20.68862255262064,-18.20506527082523
tʃ u tʃ1 o1,uni1-bi2,-21.18810174220993,-17.37341320787683
tʃ1 u1 ɲ o,uni1-bi2,-20.768876334955458,-17.117809791276375
x u ɲ1 o1,uni1-bi2,-20.65327247190909,-16.940283010822313
tʃ u tʃ1 i1,uni1-bi2,-20.516050271137583,-19.235858805074923
tʃ i ɲ1 o1,uni1-bi2,-20.61416997160333,-18.726120868779137
f u tʃ1 u1,uni1-bi2,-20.546772949108338,-18.10625356461656
tʃ u r1 o1,uni1-bi2,-20.502097449162363,-17.994215102943457
tʃ u tʃ1 a1,uni1-bi2,-20.258971327772738,-17.823592716137792
tʃ1 u1 ɲ a,uni1-bi2,-20.5752028817271,-16.775411546972105
k1 u1 tʃ u,uni1-bi2,-19.73417400783363,-19.239158476634344
f u ɲ1 i1,uni1-bi2,-19.82960946752816,-18.715868824637617
tʃ u g1 o1,uni1-bi2,-19.831606425710607,-18.334084647957
ɲ1 a1 ɲ a,uni1-bi2,-19.60096045678208,-17.965383290732778
tʃ u x1 e1,uni1-bi2,-19.67540534836466,-17.314962256702458
g u ɲ1 e1,uni1-bi2,-19.735913771063252,-17.06914599110535
x e tʃ1 u1,uni1-bi2,-18.88958490551204,-19.157221338188236
tʃ a x1 u1,uni1-bi2,-18.92662623739241,-18.802158429280176
r1 e1 tʃ i,uni1-bi2,-18.90832563204948,-18.25576258208987
tʃ e tʃ1 e1,uni1-bi2,-18.87982297571576,-17.87072820375632
p1 u1 tʃ i,uni1-bi2,-18.913026268267927,-17.441866377191545
tʃ1 u1 f o,uni1-bi2,-18.926715234350333,-16.880893498899642
tʃ o m1 u1,uni1-bi2,-18.245692650864346,-19.222731593918915
d u r1 u1,uni1-bi2,-18.167332375769966,-18.738742658753377
r1 o1 f i,uni1-bi2,-18.201003161112357,-18.26129301645002
f i tʃ1 i1,uni1-bi2,-18.214955983087577,-17.843976870847214
f u f1 a1,uni1-bi2,-18.213551973690382,-17.379706860265724
g1 e1 ɲ e,uni1-bi2,-18.15868709929515,-16.93191515991004
x i r1 a1,uni1-bi2,-17.423484279983747,-19.174332455561363
r1 i1 b u,uni1-bi2,-17.397476853410247,-18.80032739993032
b1 i1 tʃ i,uni1-bi2,-17.38363866655858,-18.332261894799707
g e tʃ1 e1,uni1-bi2,-17.406753337241383,-17.799815899936323
f u u1 e1,uni1-bi2,-17.385616717073216,-17.39602912323842
i u tʃ1 e1,uni1-bi2,-17.449111252902497,-16.89138436712825
ɲ u u1 u1,uni1-bi1,-20.292729874692448,-35.03601408909256
ɲ1 u1 ɲ u,uni1-bi1,-22.90929490663045,-31.494947417086703
ɲ1 e1 ɲ u,uni1-bi1,-21.84434284961634,-29.04367303941182
tʃ1 u1 ɲ u,uni1-bi1,-22.38893404971346,-26.21981338599433
tʃ u ɲ1 u1,uni1-bi1,-22.27393546655174,-23.62388151555387
tʃ u tʃ1 u1,uni1-bi1,-21.75357460963475,-20.962351330086552
ɲ1 o1 u u,uni1-bi1,-19.563243926932373,-34.676545732508174
ɲ1 i1 ɲ u,uni1-bi1,-21.671770568133283,-30.71394477864149
ɲ1 i1 tʃ u,uni1-bi1,-21.036411128054574,-28.59112042157973
ɲ1 u1 x u,uni1-bi1,-21.218745339333907,-26.801173438844295
ɲ1 u1 ɲ e,uni1-bi1,-21.100495329725575,-23.809540797330268
r1 u1 tʃ u,uni1-bi1,-21.067570316587187,-21.003741664277182
ɲ1 u1 u u,uni1-bi1,-20.12871679435719,-36.02862160136973
ɲ u u1 o1,uni1-bi1,-19.72725700726763,-30.95459948178505
ɲ1 i1 ɲ i,uni1-bi1,-20.57747794060969,-29.13958240431124
ɲ1 o1 f u,uni1-bi1,-20.50166093860051,-26.592726647132224
f1 i1 ɲ u,uni1-bi1,-20.312792017660353,-23.760253332116548
ɲ1 u1 tʃ e,uni1-bi1,-20.465135889646863,-21.426912996662683
ɲ1 i1 u u,uni1-bi1,-18.891192455860025,-35.173510990770794
ɲ i u1 o1,uni1-bi1,-18.63296437974404,-31.751815071935788
ɲ i r1 i1,uni1-bi1,-19.37111279064513,-28.922660651346053
ɲ u s1 u1,uni1-bi1,-19.52115647499039,-26.25509244169363
