word,bucket_r,uni_prob,bi_prob_smoothed
t u u o,uni3-bi3,-12.651444775893248,-19.801665828279635
t u u o,uni3-bi3,-12.651444775893248,-19.801665828279635
u u l a,uni3-bi3,-12.656385370727715,-17.660643354703566
u u l a,uni3-bi3,-12.656385370727715,-17.660643354703566
u a l u,uni3-bi3,-12.656385370727715,-18.71924224115191
u a l u,uni3-bi3,-12.656385370727715,-18.71924224115191
l u u a,uni3-bi3,-12.656385370727715,-18.94059768028083
l u u a,uni3-bi3,-12.656385370727715,-18.94059768028083
r i u a,uni3-bi3,-12.657819950102976,-14.861457230067176
r i u a,uni3-bi3,-12.657819950102976,-14.861457230067176
r a u i,uni3-bi3,-12.657819950102976,-16.95316877260479
r a u i,uni3-bi3,-12.657819950102976,-16.95316877260479
i a r u,uni3-bi3,-12.657819950102976,-17.74339896981358
i a r u,uni3-bi3,-12.657819950102976,-17.74339896981358
u a r i,uni3-bi3,-12.657819950102976,-18.457068605534392
u a r i,uni3-bi3,-12.657819950102976,-18.457068605534392
r a i u,uni3-bi3,-12.657819950102976,-19.253449067341194
r a i u,uni3-bi3,-12.657819950102976,-19.253449067341194
i u r a,uni3-bi3,-12.657819950102978,-16.375662860897375
i u r a,uni3-bi3,-12.657819950102978,-16.375662860897375
u i r a,uni3-bi3,-12.657819950102978,-17.841198783642547
u i r a,uni3-bi3,-12.657819950102978,-17.841198783642547
s a tʃ i,uni3-bi3,-12.6597474520598,-17.41981125326901
s a tʃ i,uni3-bi3,-12.6597474520598,-17.41981125326901
f e u e,uni3-bi3,-12.660432377060744,-15.22056281713529
f e u e,uni3-bi3,-12.660432377060744,-15.22056281713529
u e f e,uni3-bi3,-12.660432377060744,-15.2998907724567
u e f e,uni3-bi3,-12.660432377060744,-15.2998907724567
r e u o,uni3-bi3,-12.662276740485948,-15.35939908244957
r e u o,uni3-bi3,-12.662276740485948,-15.35939908244957
r o u e,uni3-bi3,-12.662276740485948,-15.486791145319796
r o u e,uni3-bi3,-12.662276740485948,-15.486791145319796
u o r e,uni3-bi3,-12.662276740485948,-16.47698230629584
u o r e,uni3-bi3,-12.662276740485948,-16.47698230629584
s o tʃ e,uni3-bi3,-12.66420424244277,-15.5357680304924
s o tʃ e,uni3-bi3,-12.66420424244277,-15.5357680304924
x a m i,uni3-bi3,-12.66776745263353,-15.221448665517086
x a m i,uni3-bi3,-12.66776745263353,-15.221448665517086
p a m u,uni3-bi3,-12.668733295815564,-15.527640156423672
p a m u,uni3-bi3,-12.668733295815564,-15.527640156423672
m a p u,uni3-bi3,-12.668733295815564,-16.441444903259782
m a p u,uni3-bi3,-12.668733295815564,-16.441444903259782
k e x i,uni3-bi3,-12.671414879035872,-14.957640126485195
k e x i,uni3-bi3,-12.671414879035872,-14.957640126485195
x e k i,uni3-bi3,-12.671414879035872,-16.22541680430836
x e k i,uni3-bi3,-12.671414879035872,-16.22541680430836
k e p u,uni3-bi3,-12.672380722217904,-17.47908238534463
k e p u,uni3-bi3,-12.672380722217904,-17.47908238534463
k i g i,uni3-bi3,-12.678880702130726,-16.218347331666696
k i g i,uni3-bi3,-12.678880702130726,-16.218347331666696
g i k i,uni3-bi3,-12.678880702130726,-17.113640144267958
g i k i,uni3-bi3,-12.678880702130726,-17.113640144267958
g o m i,uni3-bi3,-12.679690066111355,-15.414137013993647
g o m i,uni3-bi3,-12.679690066111355,-15.414137013993647
m o g i,uni3-bi3,-12.679690066111355,-16.33904530271264
m o g i,uni3-bi3,-12.679690066111355,-16.33904530271264
x e u e,uni3-bi3,-12.68365066716275,-15.347374131223932
x e u e,uni3-bi3,-12.68365066716275,-15.347374131223932
tʃ o i a,uni3-bi3,-12.687896700624076,-15.212467059163895
tʃ o i a,uni3-bi3,-12.687896700624076,-15.212467059163895
t i f i,uni3-bi3,-12.68826195798014,-15.111439541421708
t i f i,uni3-bi3,-12.68826195798014,-15.111439541421708
g i u e,uni3-bi3,-12.691116490257604,-15.815260887727858
g i u e,uni3-bi3,-12.691116490257604,-15.815260887727858
u i g e,uni3-bi3,-12.691116490257604,-16.01011616143933
u i g e,uni3-bi3,-12.691116490257604,-16.01011616143933
i e g u,uni3-bi3,-12.691116490257604,-16.359706008600504
i e g u,uni3-bi3,-12.691116490257604,-16.359706008600504
i u g e,uni3-bi3,-12.691116490257604,-16.951877864170918
i u g e,uni3-bi3,-12.691116490257604,-16.951877864170918
u e g i,uni3-bi3,-12.691116490257604,-17.60440881718208
u e g i,uni3-bi3,-12.691116490257604,-17.60440881718208
g e u i,uni3-bi3,-12.691116490257604,-20.08566670608845
g e u i,uni3-bi3,-12.691116490257604,-20.08566670608845
l e f i,uni3-bi3,-12.697659343197577,-15.839171996889702
l e f i,uni3-bi3,-12.697659343197577,-15.839171996889702
l o l u,uni3-bi3,-12.69806912724752,-17.024108993743006
