word,cnt,freq_per_mil,transcription
ablandando,336,0.743721680860226,a b l a n d a n d o
ablandar,169,0.37407429781362556,a b l a n d a ɾ
ablandaría,17,0.03762877551971382,a b l a n d a ɾ i a
ablandarla,98,0.2169188235842326,a b l a n d a ɾ l a
ablandarlo,72,0.15936893161290558,a b l a n d a ɾ l o
ablandarlos,46,0.10181903964157857,a b l a n d a ɾ l o s
ablandarme,96,0.21249190881720745,a b l a n d a ɾ m e
ablandarse,56,0.12395361347670435,a b l a n d a ɾ s e
ablandarte,46,0.10181903964157857,a b l a n d a ɾ t e
ablandas,44,0.09739212487455341,a b l a n d a s
ablandase,13,0.02877494598566351,a b l a n d a s e
ablandaste,52,0.11509978394265404,a b l a n d a s t e
ablande,72,0.15936893161290558,a b l a n d e
ablandé,29,0.06419026412186475,a b l a n d e
ablanden,17,0.03762877551971382,a b l a n d e n
ablandes,40,0.0885382953405031,a b l a n d e s
ablandó,121,0.2678283434050219,a b l a n d o
abnegación,145,0.32095132060932374,a b n e g a s j o n
abnegada,102,0.2257726531182829,a b n e g a d a
abnegado,135,0.298816746774198,a b n e g a d o
abocado,60,0.13280744301075464,a b o k a d o
abocarnos,30,0.06640372150537732,a b o k a ɾ n o s
abochornada,33,0.07304409365591506,a b o tʃ o ɾ n a d a
abochornado,48,0.10624595440860372,a b o tʃ o ɾ n a d o
abofeteada,14,0.030988403369176087,a b o f e t e a d a
abofeteado,224,0.4958144539068174,a b o f e t e a d o
abofetéame,117,0.2589745138709716,a b o f e t e a m e
abofetean,41,0.09075175272401569,a b o f e t e a n
abofeteando,44,0.09739212487455341,a b o f e t e a n d o
abofetear,316,0.6994525331899745,a b o f e t e a ɾ
abofeteara,17,0.03762877551971382,a b o f e t e a ɾ a
abofeteará,25,0.05533643458781443,a b o f e t e a ɾ a
abofetearan,15,0.03320186075268866,a b o f e t e a ɾ a n
abofetearé,75,0.1660093037634433,a b o f e t e a ɾ e
abofetearme,226,0.5002413686738425,a b o f e t e a ɾ m e
abofetearte,298,0.659610300286748,a b o f e t e a ɾ t e
abofeteas,49,0.1084594117921163,a b o f e t e a s
abofeteaste,88,0.19478424974910682,a b o f e t e a s t e
abofetee,98,0.2169188235842326,a b o f e t e e
abofeteó,351,0.7769235416129147,a b o f e t e o
aboga,99,0.21913228096774517,a b o g a
abogaba,39,0.08632483795699052,a b o g a b a
abogacía,573,1.268311080752707,a b o g a s i a
abogada,5033,11.140331011218803,a b o g a d a
abogadas,127,0.2811090877060973,a b o g a d a s
abogado,50651,112.11382993229556,a b o g a d o
abogados,12384,27.41145623741976,a b o g a d o s
abogan,39,0.08632483795699052,a b o g a n
abogar,86,0.19035733498208166,a b o g a ɾ
abogo,28,0.06197680673835217,a b o g o
abogó,30,0.06640372150537732,a b o g o
abolicionista,92,0.20363807928315714,a b o l i s j o n i s t a
abolicionistas,111,0.24569376956989608,a b o l i s j o n i s t a s
abolida,106,0.2346264826523332,a b o l i d a
abolido,157,0.3475128092114747,a b o l i d o
abolieron,46,0.10181903964157857,a b o l j e ɾ o n
abolió,73,0.16158238899641816,a b o l j o
abolir,305,0.6751045019713361,a b o l i ɾ
abollado,179,0.3962088716487514,a b o j a d o
abolladura,331,0.7326543939426631,a b o j a d u ɾ a
abolladuras,137,0.3032436615412231,a b o j a d u ɾ a s
abollar,42,0.09296521010752826,a b o j a ɾ
abollarla,10,0.022134573835125775,a b o j a ɾ l a
abolle,12,0.02656148860215093,a b o j e
abollé,13,0.02877494598566351,a b o j e
abolló,91,0.20142462189964455,a b o j o
abollón,17,0.03762877551971382,a b o j o n
abomban,1,0.0022134573835125774,a b o m b a n
abominable,878,1.9434155827240431,a b o m i n a b l e
abominablemente,32,0.07083063627240248,a b o m i n a b l e m e n t e
abominables,175,0.38735504211470106,a b o m i n a b l e s
