word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
i e b e,4,-10.285337212631362,-10.177777252650554,-12.251235596537008,-12.017165234498261,-12.254768525860268,-12.019719909277285,1.4463595273856045,1.4457573918204845,1.446160275561971,1.4456249915474493,1.03441955162592,1.0376968470201826,1.0339740148746817,1.0373621952667693
i e b e,4,-10.285337212631362,-10.177777252650554,-12.251235596537008,-12.017165234498261,-12.254768525860268,-12.019719909277285,1.4463595273856045,1.4457573918204845,1.446160275561971,1.4456249915474493,1.03441955162592,1.0376968470201826,1.0339740148746817,1.0373621952667693
i e b o,4,-10.547441905390711,-10.46474440969154,-12.253124737755149,-12.048185311869286,-12.256381732673724,-12.05050019115227,1.384086544798074,1.387613648116108,1.3839362240765258,1.387512072505105,1.0268179788867327,1.0291733298303871,1.02649593338938,1.0289325753373932
i e b o,4,-10.547441905390711,-10.46474440969154,-12.253124737755149,-12.048185311869286,-12.256381732673724,-12.05050019115227,1.384086544798074,1.387613648116108,1.3839362240765258,1.387512072505105,1.0268179788867327,1.0291733298303871,1.02649593338938,1.0289325753373932
i e d a,4,-9.763460981471681,-9.74611604469211,-12.458998214631727,-12.183978274860129,-12.461203436290745,-12.185726498585053,1.431100984086298,1.4368004903364917,1.4309134449697745,1.436672470195341,1.0210080972409894,1.024720513726226,1.0207793431028402,1.0245270899540637
i e d a,4,-9.763460981471681,-9.74611604469211,-12.458998214631727,-12.183978274860129,-12.461203436290745,-12.185726498585053,1.431100984086298,1.4368004903364917,1.4309134449697745,1.436672470195341,1.0210080972409894,1.024720513726226,1.0207793431028402,1.0245270899540637
i e d i,4,-10.293277375898674,-10.25585510755736,-15.251549996537847,-14.636926482455799,-15.250124605696195,-14.637097054442606,1.394815644262295,1.3929272579609346,1.3946566164133127,1.392822497030046,1.0238540062467936,1.026107516754324,1.0235790189298497,1.02589881339961
i e d i,4,-10.293277375898674,-10.25585510755736,-15.251549996537847,-14.636926482455799,-15.250124605696195,-14.637097054442606,1.394815644262295,1.3929272579609346,1.3946566164133127,1.392822497030046,1.0238540062467936,1.026107516754324,1.0235790189298497,1.02589881339961
i e d u,4,-11.451855790467624,-11.368840097438882,-18.066051410778673,-17.46679620928762,-18.030519990841295,-17.452314974622656,1.3122842830939745,1.3092289350678799,1.3121901044025366,1.309168546452076,1.0164771105343802,1.0178895562096317,1.0163219644835224,1.0177713840246447
i e d u,4,-11.451855790467624,-11.368840097438882,-18.066051410778673,-17.46679620928762,-18.030519990841295,-17.452314974622656,1.3122842830939745,1.3092289350678799,1.3121901044025366,1.309168546452076,1.0164771105343802,1.0178895562096317,1.0163219644835224,1.0177713840246447
i e d e,4,-9.899545227496988,-9.826788000609085,-12.284246768831066,-12.060782520181823,-12.286628126185587,-12.062627511857212,1.415448484554375,1.4179439386195114,1.4152732444160065,1.417825915200222,1.0206336355296994,1.0233566705390824,1.0204109647045494,1.0231782712146993
i e d e,4,-9.899545227496988,-9.826788000609085,-12.284246768831066,-12.060782520181823,-12.286628126185587,-12.062627511857212,1.415448484554375,1.4179439386195114,1.4152732444160065,1.417825915200222,1.0206336355296994,1.0233566705390824,1.0204109647045494,1.0231782712146993
i e d o,4,-10.161649920256338,-10.113755157650075,-11.422926715345973,-11.160056993781089,-11.4257527115123,-11.16222691561477,1.3531755019668446,1.359800194915135,1.3530491929305617,1.359712996157878,1.0168890184167994,1.020084200493401,1.0167271807216423,1.0199418515417986
