word,transcription,no_spaces_ipa
beneficioso,benefisʝoso,benefisioso
bonificación,bonifikasʝon,bonifikasion
boogie,booxʝe,booxie
boya,boʝa,boia
bueyes,bweʝes,bweies
burocracia,buɾokɾasʝa,buɾokɾasia
cacahuete,kakaguete,kakawete
cacahuetes,kakaguetes,kakawetes
calcio,kalsʝo,kalsio
calificación,kalifikasʝon,kalifikasion
calificaciones,kalifikasʝones,kalifikasiones
camboya,kamboʝa,kamboia
cancelación,kanselasʝon,kanselasion
canción,kansʝon,kansion
canciones,kansʝones,kansiones
cansancio,kansansʝo,kansansio
carbohidratos,kaɾboidɾatos,kaɾboʝdɾatos
caricia,kaɾisʝa,kaɾisia
caricias,kaɾisʝas,kaɾisias
cayendo,kaʝendo,kaiendo
cayéndose,kaʝendose,kaiendose
cayera,kaʝeɾa,kaieɾa
cayeron,kaʝeɾon,kaieɾon
cayo,kaʝo,kaio
cayó,kaʝo,kaio
celebración,selebɾasʝon,selebɾasion
celebraciones,selebɾasʝones,selebɾasiones
cenicienta,senisʝenta,senisienta
cianuro,sʝanuɾo,sianuɾo
ciao,sʝao,siao
ciega,sʝega,siega
ciegamente,sʝegamente,siegamente
ciegas,sʝegas,siegas
ciego,sʝego,siego
ciegos,sʝegos,siegos
cielito,sʝelito,sielito
cielo,sʝelo,sielo
cielos,sʝelos,sielos
cien,sʝen,sien
ciénaga,sʝenaga,sienaga
ciencia,sʝensʝa,siensia
ciencias,sʝensʝas,siensias
científica,sʝentifika,sientifika
científicamente,sʝentifikamente,sientifikamente
científicas,sʝentifikas,sientifikas
científico,sʝentifiko,sientifiko
científicos,sʝentifikos,sientifikos
ciento,sʝento,siento
cientos,sʝentos,sientos
cierra,sʝera,siera
ciérrala,sʝerala,sierala
ciérralo,sʝeralo,sieralo
ciérralos,sʝeralos,sieralos
cierran,sʝeran,sieran
cierras,sʝeras,sieras
cierre,sʝere,siere
cierren,sʝeren,sieren
cierres,sʝeres,sieres
cierro,sʝero,siero
cierta,sʝeɾta,sieɾta
ciertamente,sʝeɾtamente,sieɾtamente
ciertas,sʝeɾtas,sieɾtas
cierto,sʝeɾto,sieɾto
ciertos,sʝeɾtos,sieɾtos
ciervo,sʝeɾbo,sieɾbo
ciervos,sʝeɾbos,sieɾbos
circulación,siɾkulasʝon,siɾkulasion
circunstancia,siɾkunstansʝa,siɾkunstansia
circunstancial,siɾkunstansʝal,siɾkunstansial
circunstancias,siɾkunstansʝas,siɾkunstansias
citación,sitasʝon,sitasion
ciudad,sʝudad,siudad
ciudadana,sʝudadana,siudadana
ciudadanía,sʝudadania,siudadania
ciudadano,sʝudadano,siudadano
ciudadanos,sʝudadanos,siudadanos
ciudadela,sʝudadela,siudadela
ciudades,sʝudades,siudades
civilización,sibilisasʝon,sibilisasion
civilizaciones,sibilisasʝones,sibilisasiones
clasificación,klasifikasʝon,klasifikasion
clemencia,klemensʝa,klemensia
