,Unnamed: 0,word,cnt,frq,sa_phon_structure,sa_phon_CV_structure,sa_syll_accent,sa_NP,sa_avg_frq_Np,X,stressed_ipa,unsyllabified_ipa,syllabified_ipa,no_spaces_ipa
25070,25071,cursamos,28,0.060526,kursamos,CVCCVCVC,2,1,0.471238,,k u ɾ s1 a1 m o s,k u ɾ s a m o s,kuɾ.sa.mos,kuɾsamos
25071,25072,cursan,7,0.015131,kursan,CVCCVC,1,9,0.179176,,k1 u1 ɾ1 s a n,k u ɾ s a n,kuɾ.san,kuɾsan
25072,25073,cursando,43,0.092951,kursando,CVCCVCCV,2,2,0.755494,,k u ɾ s1 a1 n1 d o,k u ɾ s a n d o,kuɾ.san.do,kuɾsando
25073,25074,cursar,104,0.224811,kursar,CVCCVC,2,9,1.354868,,k u ɾ s1 a1 ɾ1,k u ɾ s a ɾ,kuɾ.saɾ,kuɾsaɾ
25074,25075,curse,99,0.214002,kurse,CVCCV,1,19,2.514101,,k1 u1 ɾ1 s e,k u ɾ s e,kuɾ.se,kuɾse
25075,25076,cursé,72,0.155638,kurse,CVCCV,2,19,2.514101,,k u ɾ s1 e1,k u ɾ s e,kuɾ.se,kuɾse
25076,25077,cursi,1577,3.408906,kursi,CVCCV,1,9,4.157074,,k1 u1 ɾ1 s i,k u ɾ s i,kuɾ.si,kuɾsi
25077,25078,cursilería,69,0.149153,kursileria,CVCCVCVCVV,4,0,0.0,,k u ɾ s i l e ɾ1 i1 a,k u ɾ s i l e ɾ i a,kuɾ.si.le.ɾi.a,kuɾsileɾia
25078,25079,cursillo,182,0.393419,kursiLo,CVCCVCV,2,2,0.033506,,k u ɾ s1 i1 ʝ o,k u ɾ s i ʝ o,kuɾ.si.ʝo,kuɾsiʝo
25079,25080,cursis,210,0.453944,kursis,CVCCVC,1,8,2.302417,,k1 u1 ɾ1 s i s,k u ɾ s i s,kuɾ.sis,kuɾsis
25080,25081,cursiva,62,0.134022,kursiBa,CVCCVCV,2,3,0.028101,,k u ɾ s1 i1 b a,k u ɾ s i b a,kuɾ.si.ba,kuɾsiba
25081,25082,cursivas,7,0.015131,kursiBas,CVCCVCVC,2,2,0.071335,,k u ɾ s1 i1 b a s,k u ɾ s i b a s,kuɾ.si.bas,kuɾsibas
25082,25083,curso,16818,36.354464,kurso,CVCCV,1,20,0.658328,,k1 u1 ɾ1 s o,k u ɾ s o,kuɾ.so,kuɾso
25083,25084,cursó,45,0.097274,kurso,CVCCV,2,20,0.658328,,k u ɾ s1 o1,k u ɾ s o,kuɾ.so,kuɾso
25084,25085,cursor,50,0.108082,kursor,CVCCVC,2,4,9.968944,,k u ɾ s1 o1 ɾ1,k u ɾ s o ɾ,kuɾ.soɾ,kuɾsoɾ
25085,25086,cursos,1480,3.199227,kursos,CVCCVC,1,13,2.930519,,k1 u1 ɾ1 s o s,k u ɾ s o s,kuɾ.sos,kuɾsos
25086,25087,curtida,57,0.123213,kurtiDa,CVCCVCV,2,5,0.094248,,k u ɾ t1 i1 d a,k u ɾ t i d a,kuɾ.ti.da,kuɾtida
25087,25088,curtido,142,0.306953,kurtiDo,CVCCVCV,2,4,0.294524,,k u ɾ t1 i1 d o,k u ɾ t i d o,kuɾ.ti.do,kuɾtido
25088,25089,curtidor,28,0.060526,kurtiDor,CVCCVCVC,3,4,0.277231,,k u ɾ t i d1 o1 ɾ1,k u ɾ t i d o ɾ,kuɾ.ti.doɾ,kuɾtidoɾ
25089,25090,curtidos,48,0.103759,kurtiDos,CVCCVCVC,2,5,0.116729,,k u ɾ t1 i1 d o s,k u ɾ t i d o s,kuɾ.ti.dos,kuɾtidos
25090,25091,curva,4352,9.407458,kurBa,CVCCV,1,18,3.10976,,k1 u1 ɾ1 b a,k u ɾ b a,kuɾ.ba,kuɾba
25091,25092,curvada,93,0.201033,kurBaDa,CVCCVCV,2,9,0.311036,,k u ɾ b1 a1 d a,k u ɾ b a d a,kuɾ.ba.da,kuɾbada
25092,25093,curvado,84,0.181578,kurBaDo,CVCCVCV,2,5,1.548599,,k u ɾ b1 a1 d o,k u ɾ b a d o,kuɾ.ba.do,kuɾbado
25093,25094,curvados,41,0.088627,kurBaDos,CVCCVCVC,2,4,0.233457,,k u ɾ b1 a1 d o s,k u ɾ b a d o s,kuɾ.ba.dos,kuɾbados
25094,25095,curvas,1713,3.70289,kurBas,CVCCVC,1,14,1.048704,,k1 u1 ɾ1 b a s,k u ɾ b a s,kuɾ.bas,kuɾbas
25095,25096,curvatura,367,0.793322,kurBatura,CVCCVCVCV,3,1,0.015131,,k u ɾ b a t1 u1 ɾ a,k u ɾ b a t u ɾ a,kuɾ.ba.tu.ɾa,kuɾbatuɾa
25096,25097,curvilínea,35,0.075657,kurBilinea,CVCCVCVCVV,3,2,0.016213,,k u ɾ b i l1 i1 n e a,k u ɾ b i l i n e a,kuɾ.bi.li.ne.a,kuɾbilinea
25097,25098,curvos,47,0.101597,kurBos,CVCCVC,1,12,0.916896,,k1 u1 ɾ1 b o s,k u ɾ b o s,kuɾ.bos,kuɾbos
25098,25099,cúspide,396,0.856009,kuspiDe,CVCCVCV,1,1,0.045394,,k1 u1 s1 p i d e,k u s p i d e,kus.pi.de,kuspide
25099,25100,cúspides,21,0.045394,kuspiDes,CVCCVCVC,1,1,0.856009,,k1 u1 s1 p i d e s,k u s p i d e s,kus.pi.des,kuspides
25100,25101,custodia,9303,20.109738,kustoDja,CVCCVCVV,2,9,0.283655,,k u s t1 o1 d j a,k u s t o d j a,kus.to.dja,kustodja
25101,25102,custodiaban,45,0.097274,kustoDjaBan,CVCCVCVVCVC,3,4,0.03891,,k u s t o d1 j1 a1 b a n,k u s t o d j a b a n,kus.to.dja.ban,kustodjaban
25102,25103,custodiada,166,0.358832,kustoDjaDa,CVCCVCVVCV,3,7,0.131242,,k u s t o d1 j1 a1 d a,k u s t o d j a d a,kus.to.dja.da,kustodjada
25103,25104,custodiadas,21,0.045394,kustoDjaDas,CVCCVCVVCVC,3,5,0.099435,,k u s t o d1 j1 a1 d a s,k u s t o d j a d a s,kus.to.dja.das,kustodjadas
25104,25105,custodiado,305,0.6593,kustoDjaDo,CVCCVCVVCV,3,3,0.162843,,k u s t o d1 j1 a1 d o,k u s t o d j a d o,kus.to.dja.do,kustodjado
25105,25106,custodiados,55,0.11889,kustoDjaDos,CVCCVCVVCVC,3,3,0.260117,,k u s t o d1 j1 a1 d o s,k u s t o d j a d o s,kus.to.dja.dos,kustodjados
25106,25107,custodiamos,35,0.075657,kustoDjamos,CVCCVCVVCVC,3,2,0.061606,,k u s t o d1 j1 a1 m o s,k u s t o d j a m o s,kus.to.dja.mos,kustodjamos
25107,25108,custodian,101,0.218326,kustoDjan,CVCCVCVVC,2,5,4.111872,,k u s t1 o1 d j a n,k u s t o d j a n,kus.to.djan,kustodjan
25108,25109,custodiando,149,0.322084,kustoDjando,CVCCVCVVCCV,3,0,0.0,,k u s t o d1 j1 a1 n1 d o,k u s t o d j a n d o,kus.to.djan.do,kustodjando
25109,25110,custodiar,132,0.285336,kustoDjar,CVCCVCVVC,3,7,2.933654,,k u s t o d1 j1 a1 ɾ1,k u s t o d j a ɾ,kus.to.djaɾ,kustodjaɾ
25110,25111,custodiara,10,0.021616,kustoDjara,CVCCVCVVCV,3,9,0.097274,,k u s t o d1 j1 a1 ɾ a,k u s t o d j a ɾ a,kus.to.dja.ɾa,kustodjaɾa
25111,25112,custodiaremos,3,0.006485,kustoDjaremos,CVCCVCVVCVCVC,4,0,0.0,,k u s t o d j a ɾ1 e1 m o s,k u s t o d j a ɾ e m o s,kus.to.dja.ɾe.mos,kustodjaɾemos
25112,25113,custodiarlas,2,0.004323,kustoDjarlas,CVCCVCVVCCVC,3,4,0.012429,,k u s t o d1 j1 a1 ɾ1 l a s,k u s t o d j a ɾ l a s,kus.to.djaɾ.las,kustodjaɾlas
25113,25114,custodiarle,6,0.01297,kustoDjarle,CVCCVCVVCCV,3,5,0.058797,,k u s t o d1 j1 a1 ɾ1 l e,k u s t o d j a ɾ l e,kus.to.djaɾ.le,kustodjaɾle
25114,25115,custodias,41,0.088627,kustoDjas,CVCCVCVVC,2,8,2.611802,,k u s t1 o1 d j a s,k u s t o d j a s,kus.to.djas,kustodjas
25115,25116,custodie,38,0.082142,kustoDje,CVCCVCVV,2,5,4.404125,,k u s t1 o1 d j e,k u s t o d j e,kus.to.dje,kustodje
25116,25117,custodio,844,1.824424,kustoDjo,CVCCVCVV,2,4,5.110657,,k u s t1 o1 d j o,k u s t o d j o,kus.to.djo,kustodjo
25117,25118,custodios,111,0.239942,kustoDjos,CVCCVCVVC,2,4,0.483667,,k u s t1 o1 d j o s,k u s t o d j o s,kus.to.djos,kustodjos
25118,25119,cutánea,106,0.229134,kutanea,CVCVCVV,2,2,0.112406,,k u t1 a1 n e a,k u t a n e a,ku.ta.ne.a,kutanea
25119,25120,cutáneas,56,0.121052,kutaneas,CVCVCVVC,2,2,0.128618,,k u t1 a1 n e a s,k u t a n e a s,ku.ta.ne.as,kutaneas
25120,25121,cutáneo,48,0.103759,kutaneo,CVCVCVV,2,2,0.128618,,k u t1 a1 n e o,k u t a n e o,ku.ta.ne.o,kutaneo
25121,25122,cúter,56,0.121052,kuter,CVCVC,1,3,3.106997,,k1 u1 t e ɾ,k u t e ɾ,ku.teɾ,kuteɾ
25122,25123,cutículas,71,0.153476,kutikulas,CVCVCVCVC,2,1,0.138345,,k u t1 i1 k u l a s,k u t i k u l a s,ku.ti.ku.las,kutikulas
25123,25124,cutis,454,0.981385,kutis,CVCVC,1,4,2.962528,,k1 u1 t i s,k u t i s,ku.tis,kutis
25124,25125,cutre,371,0.801968,kutre,CVCCV,1,7,2.446977,,k1 u1 t ɾ e,k u t ɾ e,ku.tɾe,kutɾe
25125,25126,cutres,152,0.328569,kutres,CVCCVC,1,5,0.587966,,k1 u1 t ɾ e s,k u t ɾ e s,ku.tɾes,kutɾes
25126,25127,cutter,1041,2.250267,kuDter,CVCCVC,2,2,0.270205,,k u t t1 e1 ɾ1,k u t t e ɾ,kut.teɾ,kutteɾ
25127,25128,cuya,5638,12.187327,kuHa,CVCV,1,17,13.480115,,k1 u1 i a,k u i a,ku.ia,kuia
25128,25129,cuyas,1498,3.238137,kuHas,CVCVC,1,17,2.719852,,k1 u1 i a s,k u i a s,ku.ias,kuias
25129,25130,cuyo,7054,15.248209,kuHo,CVCV,1,22,18.420416,,k1 u1 i o,k u i o,ku.io,kuio
25130,25131,cuyos,2173,4.697244,kuHos,CVCVC,1,12,5.439407,,k1 u1 i o s,k u i o s,ku.ios,kuios
25131,25132,da,151016,326.442246,da,CV,1,46,1862.961708,,d1 a1,d a,da,da
25132,25133,daba,13473,29.123777,daBa,CVCV,1,39,6.229403,,d1 a1 b a,d a b a,da.ba,daba
25133,25134,dábamos,583,1.260236,daBamos,CVCVCVC,1,6,2.305029,,d1 a1 b a m o s,d a b a m o s,da.ba.mos,dabamos
25134,25135,daban,3151,6.811328,daBan,CVCVC,1,13,4.298172,,d1 a1 b a n,d a b a n,da.ban,daban
25135,25136,dabas,987,2.133539,daBas,CVCVC,1,28,5.779454,,d1 a1 b a s,d a b a s,da.bas,dabas
25136,25137,dactilar,453,0.979223,daktilar,CVCCVCVC,3,0,0.0,,d a k t i l1 a1 ɾ1,d a k t i l a ɾ,dak.ti.laɾ,daktilaɾ
25137,25138,dactilares,1513,3.270562,daktilares,CVCCVCVCVC,3,0,0.0,,d a k t i l1 a1 ɾ e s,d a k t i l a ɾ e s,dak.ti.la.ɾes,daktilaɾes
25138,25139,dactilógrafa,32,0.069172,daktiloGrafa,CVCCVCVCCVCV,3,2,0.014051,,d a k t i l1 o1 ɡ ɾ a f a,d a k t i l o ɡ ɾ a f a,dak.ti.lo.ɡɾa.fa,daktiloɡɾafa
25139,25140,dactilográfica,3,0.006485,daktiloGrafika,CVCCVCVCCVCVCV,4,1,0.019455,,d a k t i l o ɡ1 ɾ1 a1 f i k a,d a k t i l o ɡ ɾ a f i k a,dak.ti.lo.ɡɾa.fi.ka,daktiloɡɾafika
25140,25141,dactiloscopia,6,0.01297,daktiloskopja,CVCCVCVCCVCVV,4,0,0.0,,d a k t i l o s k1 o1 p j a,d a k t i l o s k o p j a,dak.ti.los.ko.pja,daktiloskopja
25141,25142,dad,1755,3.793678,daD,CVC,1,31,32.918572,,d1 a1 d1,d a d,dad,dad
25142,25143,dada,4074,8.806522,daDa,CVCV,1,27,112.43547,,d1 a1 d a,d a d a,da.da,dada
25143,25144,dadas,2295,4.960964,daDas,CVCVC,1,18,8.248939,,d1 a1 d a s,d a d a s,da.das,dadas
25144,25145,daditos,272,0.587966,daDitos,CVCVCVC,2,1,0.752251,,d a d1 i1 t o s,d a d i t o s,da.di.tos,daditos
25145,25146,dádiva,77,0.166446,daDiBa,CVCVCV,1,2,0.082143,,d1 a1 d i b a,d a d i b a,da.di.ba,dadiba
25146,25147,dadle,2258,4.880983,daDle,CVCCV,1,8,53.796468,,d1 a1 d1 l e,d a d l e,dad.le,dadle
25147,25148,dadme,3496,7.557094,daDme,CVCCV,1,3,201.569339,,d1 a1 d1 m e,d a d m e,dad.me,dadme
25148,25149,dadnos,561,1.21268,daDnos,CVCCVC,1,3,26.750297,,d1 a1 d1 n o s,d a d n o s,dad.nos,dadnos
25149,25150,dado,73263,158.368241,daDo,CVCV,1,27,22.493867,,d1 a1 d o,d a d o,da.do,dado
25150,25151,dador,132,0.285336,daDor,CVCVC,2,5,33.557302,,d a d1 o1 ɾ1,d a d o ɾ,da.doɾ,dadoɾ
25151,25152,dados,4324,9.346932,daDos,CVCVC,1,19,20.728308,,d1 a1 d o s,d a d o s,da.dos,dados
25152,25153,daga,2986,6.454657,daGa,CVCV,1,35,17.606003,,d1 a1 ɡ a,d a ɡ a,da.ɡa,daɡa
25153,25154,dagas,817,1.76606,daGas,CVCVC,1,22,22.033401,,d1 a1 ɡ a s,d a ɡ a s,da.ɡas,daɡas
