Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1700537528833,21/11/2023 03:32:08,1700537528244,-6,20/11/2023 21:32:08,121155,36,task-gbnv,,33090308,BLIND,9798637,,complete,,655c2456b7ade7c0c72a6223,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1440x960,1440x843,,,,Audio Check,8,SoundCheckPassed,1,test passed,5,,,,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1700537549414,21/11/2023 03:32:29,1700537548880,-6,20/11/2023 21:32:28,121155,36,task-gbnv,,33090308,BLIND,9798637,,complete,,655c2456b7ade7c0c72a6223,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1440x960,1440x843,,,,Audio Check,8,SoundCheckPassed,1,test passed,5,,,,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,20542,,,,,0,1,0,,,,,,Instructions,
3,1700537551433,21/11/2023 03:32:31,1700537550896,-6,20/11/2023 21:32:30,121155,36,task-gbnv,,33090308,BLIND,9798637,,complete,,655c2456b7ade7c0c72a6223,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1440x960,1440x843,,,,Audio Check,8,SoundCheckPassed,1,test passed,5,,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,2002,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
4,1700537553021,21/11/2023 03:32:33,1700537552497,-6,20/11/2023 21:32:32,121155,36,task-gbnv,,33090308,BLIND,9798637,,complete,,655c2456b7ade7c0c72a6223,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1440x960,1440x843,,,,Audio Check,8,SoundCheckPassed,1,test passed,5,,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,3602.7000000178814,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Audio Check,cura
5,1700537554420,21/11/2023 03:32:34,1700537553886,-6,20/11/2023 21:32:33,121155,36,task-gbnv,,33090308,BLIND,9798637,,complete,,655c2456b7ade7c0c72a6223,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1440x960,1440x843,,,,Audio Check,8,SoundCheckPassed,1,test passed,5,,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,4991.100000023842,,,cura,1,1,0,0,,,,,,Audio Check,cura
6,1700537557607,21/11/2023 03:32:37,1700537557087,-6,20/11/2023 21:32:37,121155,36,task-gbnv,,33090308,BLIND,9798637,,complete,,655c2456b7ade7c0c72a6223,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1440x960,1440x843,,,,Audio Check,8,SoundCheckPassed,1,test passed,5,,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,3194.9000000059605,,,,,0,1,0,,,,,,Audio Check,cura
7,1700537557764,21/11/2023 03:32:37,1700537557092,-6,20/11/2023 21:32:37,121155,36,task-gbnv,,33090308,BLIND,9798637,,complete,,655c2456b7ade7c0c72a6223,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1440x960,1440x843,,,,Audio Check,8,SoundCheckPassed,1,test passed,5,,,,,,,,yes,Spreadsheet1,,,END TASK,,,,,28848,,,,,0,1,0,,,,,,,
1,1700602726913,21/11/2023 21:38:46,1700602726505,-8,21/11/2023 13:38:46,121155,36,task-gbnv,,33112784,BLIND,9806199,,complete,,655d22d686d182386bf4e14d,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1351x745,,,,Audio Check,8,SoundCheckPassed,2,test passed,,6,,,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1700602744498,21/11/2023 21:39:04,1700602743645,-8,21/11/2023 13:39:03,121155,36,task-gbnv,,33112784,BLIND,9806199,,complete,,655d22d686d182386bf4e14d,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1351x745,,,,Audio Check,8,SoundCheckPassed,2,test passed,,6,,,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,17095,,,,,0,1,0,,,,,,Instructions,
3,1700602745196,21/11/2023 21:39:05,1700602744874,-8,21/11/2023 13:39:04,121155,36,task-gbnv,,33112784,BLIND,9806199,,complete,,655d22d686d182386bf4e14d,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1351x745,,,,Audio Check,8,SoundCheckPassed,2,test passed,,6,,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,1216,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,cura
