Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio file,Orthography
3,1696942353743,10/10/2023 12:52:33,1696942354822,-4,10/10/2023 08:52:34,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,turo.mp3,turo
4,1696942353743,10/10/2023 12:52:33,1696942354848,-4,10/10/2023 08:52:34,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,30,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,turo.mp3,turo
5,1696942358797,10/10/2023 12:52:38,1696942359957,-4,10/10/2023 08:52:39,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,5139.399999856949,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Task,turo.mp3,turo
6,1696942362803,10/10/2023 12:52:42,1696942363978,-4,10/10/2023 08:52:43,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,9160.799999952316,,,AUDIO PLAY REQUESTED,3,0,1,0,,,,,,Task,turo.mp3,turo
7,1696942363873,10/10/2023 12:52:43,1696942365055,-4,10/10/2023 08:52:45,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,10237.700000047684,,,AUDIO PLAY REQUESTED,4,0,1,0,,,,,,Task,turo.mp3,turo
8,1696942364874,10/10/2023 12:52:44,1696942366024,-4,10/10/2023 08:52:46,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,11206.799999952316,,,AUDIO PLAY REQUESTED,5,0,1,0,,,,,,Task,turo.mp3,turo
9,1696942365807,10/10/2023 12:52:45,1696942366987,-4,10/10/2023 08:52:46,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,12169.200000047684,,,AUDIO PLAY REQUESTED,6,0,1,0,,,,,,Task,turo.mp3,turo
10,1696942366703,10/10/2023 12:52:46,1696942367885,-4,10/10/2023 08:52:47,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,13067.799999952316,,,AUDIO PLAY REQUESTED,7,0,1,0,,,,,,Task,turo.mp3,turo
11,1696942367682,10/10/2023 12:52:47,1696942368860,-4,10/10/2023 08:52:48,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,14042,,,AUDIO PLAY REQUESTED,8,0,1,0,,,,,,Task,turo.mp3,turo
12,1696942377006,10/10/2023 12:52:57,1696942378170,-4,10/10/2023 08:52:58,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_endValue,23351.89999985695,,,68,,0,1,0,,,,,,Task,turo.mp3,turo
13,1696942377108,10/10/2023 12:52:57,1696942378172,-4,10/10/2023 08:52:58,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone4,continue_button,23351.89999985695,,,,,0,1,0,,,,,,Task,turo.mp3,turo
14,1696942377108,10/10/2023 12:52:57,1696942378192,-4,10/10/2023 08:52:58,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,chanu.mp3,chanú
15,1696942377108,10/10/2023 12:52:57,1696942378195,-4,10/10/2023 08:52:58,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone1,content_web_audio,3.9000000953674316,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,chanu.mp3,chanú
16,1696942383567,10/10/2023 12:53:03,1696942384740,-4,10/10/2023 08:53:04,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_endValue,6547.799999952316,,,48,,0,1,0,,,,,,Task,chanu.mp3,chanú
17,1696942383679,10/10/2023 12:53:03,1696942384742,-4,10/10/2023 08:53:04,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone4,continue_button,6547.799999952316,,,,,0,1,0,,,,,,Task,chanu.mp3,chanú
18,1696942383679,10/10/2023 12:53:03,1696942384745,-4,10/10/2023 08:53:04,121155,36,task-tl3i,,32131412,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Test Run Phonotactics,11,SoundCheckPassed,7,test passed,,,,,,,6,,yes,Spreadsheet1,,,END TASK,,,,,33299,,,,,0,1,0,,,,,,,,
1,1696943586043,10/10/2023 13:13:06,1696943585194,-4,10/10/2023 09:13:05,121155,36,task-tl3i,,32132182,BLIND,9501466,,complete,,65254d23757964ca8410723f,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,,,,Test Run Phonotactics,11,SoundCheckPassed,4,test passed,,,,1,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1696943610214,10/10/2023 13:13:30,1696943609375,-4,10/10/2023 09:13:29,121155,36,task-tl3i,,32132182,BLIND,9501466,,complete,,65254d23757964ca8410723f,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,,,,Test Run Phonotactics,11,SoundCheckPassed,4,test passed,,,,1,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,24166.700000047684,,,,,0,1,0,,,,,,Prompt,,
