Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Randomise questionnaire elements?,END QUESTIONNAIRE
1,1696911223857,10/10/2023 04:13:43,1696911223700,-7,09/10/2023 21:13:43,121155,36,questionnaire-yepb,,32123434,BLIND,9498798,,complete,,6524cbbc0379b41f3ed5d88e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1280x800,1280x715,,,,Final message,4,SoundCheckPassed,4,test passed,,,,8,,,,,yes,No,2786
1,1696911817526,10/10/2023 04:23:37,1696911817383,-4,10/10/2023 00:23:37,121155,36,questionnaire-yepb,,32123471,BLIND,9498805,,complete,,6524ce587eb28ad70bcb2a28,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x815,,,,Final message,4,SoundCheckPassed,5,test passed,,,,,8,,,,yes,No,3513
1,1696911975266,10/10/2023 04:26:15,1696911975975,-7,09/10/2023 21:26:15,121155,36,questionnaire-yepb,,32123478,BLIND,9498807,,complete,,6524ce8bf0823363318c0d90,computer,Desktop or Laptop,Windows 10,Edge 116.0.1938.81,1366x768,1342x677,,,,Final message,4,SoundCheckPassed,1,test passed,2,,,,,,,,yes,No,5294
1,1696922311555,10/10/2023 07:18:31,1696922311431,-7,10/10/2023 00:18:31,121155,36,questionnaire-yepb,,32124035,BLIND,9498951,,complete,,6524f837802955cb12c8ce4f,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,4096x1152,1598x998,,,,Final message,4,SoundCheckPassed,3,test passed,,,2,,,,,,yes,No,3236
1,1696942026231,10/10/2023 12:47:06,1696942019017,-5,10/10/2023 07:46:59,121155,36,questionnaire-yepb,,32131232,BLIND,9501120,,complete,,65254594b6b338a9186d24c0,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Final message,4,SoundCheckPassed,3,test passed,,,4,,,,,,yes,No,2096
1,1696942907430,10/10/2023 13:01:47,1696942908568,-4,10/10/2023 09:01:48,121155,36,questionnaire-yepb,,32131752,BLIND,9501259,,complete,,6525483f38f8e0bd8ddc6c88,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.41,1024x820,691x674,,,,Final message,4,SoundCheckPassed,7,test passed,,,,,,,6,,yes,No,2074
1,1696944113003,10/10/2023 13:21:53,1696944112006,-4,10/10/2023 09:21:52,121155,36,questionnaire-yepb,,32132469,BLIND,9501466,,complete,,65254d23757964ca8410723f,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,,,,Final message,4,SoundCheckPassed,4,test passed,,,,1,,,,,yes,No,4131
1,1696944999080,10/10/2023 13:36:39,1696944998952,-5,10/10/2023 08:36:38,121155,36,questionnaire-yepb,,32132917,BLIND,9501625,,complete,,6525514cd90d610f27a1977f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 118.0,1710x1112,1605x894,,,,Final message,4,SoundCheckPassed,2,test passed,,3,,,,,,,yes,No,1351
1,1696945065893,10/10/2023 13:37:45,1696945062914,-5,10/10/2023 08:37:42,121155,36,questionnaire-yepb,,32132945,BLIND,9501517,,complete,,65254db6631d9ec0b489b130,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1366x768,1517x687,,,,Final message,4,SoundCheckPassed,6,test passed,,,,,,8,,,yes,No,4497
1,1696946190634,10/10/2023 13:56:30,1696946188244,-4,10/10/2023 09:56:28,121155,36,questionnaire-yepb,,32133910,BLIND,9501743,,complete,,6525546212d0dad200f23004,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x739,,,,Final message,4,SoundCheckPassed,5,test passed,,,,,2,,,,yes,No,2365
1,1696954200216,10/10/2023 16:10:00,1696954122656,-5,10/10/2023 11:08:42,121155,36,questionnaire-yepb,,32141071,BLIND,9504494,,complete,,6525723f1a5875a8c61372e1,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1920x1080,1530x773,,,,Final message,4,SoundCheckPassed,1,test passed,5,,,,,,,,yes,No,1310
1,1696954936102,10/10/2023 16:22:16,1696954935897,-5,10/10/2023 11:22:15,121155,36,questionnaire-yepb,,32141390,BLIND,9504642,,complete,,652574f186977297ba82104e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,2560x1440,1421x1055,,,,Final message,4,SoundCheckPassed,8,test passed,,,,,,,,4,yes,No,4304
1,1696957148523,10/10/2023 16:59:08,1696957148729,-4,10/10/2023 12:59:08,121155,36,questionnaire-yepb,,32144019,BLIND,9505365,,complete,,65257fa0b2e8ba32363e9580,computer,Desktop or Laptop,Windows 10,Firefox 118.0,1536x864,1536x731,,,,Final message,4,SoundCheckPassed,6,test passed,,,,,,4,,,yes,No,2154
1,1696958294749,10/10/2023 17:18:14,1696958294501,-4,10/10/2023 13:18:14,121155,36,questionnaire-yepb,,32145023,BLIND,9505591,,complete,,6525830e98454db3f0e2ea56,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x758,,,,Final message,4,SoundCheckPassed,5,test passed,,,,,3,,,,yes,No,3112
1,1696969904111,10/10/2023 20:31:44,1696969903832,-4,10/10/2023 16:31:43,121155,36,questionnaire-yepb,,32152542,BLIND,9508170,,complete,,6525af2cd35e0dd06947d333,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x707,,,,Final message,4,SoundCheckPassed,4,test passed,,,,6,,,,,yes,No,3747
1,1696971215668,10/10/2023 20:53:35,1696971214970,-4,10/10/2023 16:53:34,121155,36,questionnaire-yepb,,32153021,BLIND,9508448,,complete,,6525b6c2250c9b4195114d13,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1925x986,1920x983,,,,Final message,4,SoundCheckPassed,2,test passed,,1,,,,,,,yes,No,2181
1,1696977927774,10/10/2023 22:45:27,1696977927530,-4,10/10/2023 18:45:27,121155,36,questionnaire-yepb,,32154817,BLIND,9508951,,complete,,6525d1844dd9112ec01def33,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1440x900,1440x820,,,,Final message,4,SoundCheckPassed,3,test passed,,,8,,,,,,yes,No,2164
1,1696981873045,10/10/2023 23:51:13,1696981875460,-7,10/10/2023 16:51:15,121155,36,questionnaire-yepb,,32155395,BLIND,9509177,,complete,,6525e010c4e33e4dcd323527,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x963,,,,Final message,4,SoundCheckPassed,8,test passed,,,,,,,,7,yes,No,1691
1,1696987684703,11/10/2023 01:28:04,1696987685312,-4,10/10/2023 21:28:05,121155,36,questionnaire-yepb,,32155827,BLIND,9509378,,complete,,6525f74334196850d90f5253,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1536x864,1536x739,,,,Final message,4,SoundCheckPassed,7,test passed,,,,,,,2,,yes,No,1531
1,1697034746460,11/10/2023 14:32:26,1697034746260,-4,11/10/2023 10:32:26,121155,36,questionnaire-yepb,,32169017,BLIND,9513811,,complete,,6526af997706cb31646f347d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,2560x1440,1358x1329,,,,Final message,4,SoundCheckPassed,1,test passed,7,,,,,,,,yes,No,2536
1,1697042214226,11/10/2023 16:36:54,1697042213656,-4,11/10/2023 12:36:53,121155,36,questionnaire-yepb,,32176157,BLIND,9515611,,complete,,6526cbba4464558275e1742f,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 117.0.0.0,1300x730,1300x606,,,,Final message,4,SoundCheckPassed,1,test passed,4,,,,,,,,yes,No,2062
1,1697043582923,11/10/2023 16:59:42,1697043582701,-4,11/10/2023 12:59:42,121155,36,questionnaire-yepb,,32176538,BLIND,9515751,,complete,,6526d0781bff431ad8ac118d,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1366x768,1366x643,,,,Final message,4,SoundCheckPassed,8,test passed,,,,,,,,6,yes,No,2532
1,1697050856679,11/10/2023 19:00:56,1697050856821,-5,11/10/2023 14:00:56,121155,36,questionnaire-yepb,,32178848,BLIND,9516487,,complete,,6526ee1aae50778de83a4db6,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1366x768,1366x651,,,,Final message,4,SoundCheckPassed,2,test passed,,7,,,,,,,yes,No,1613
1,1697060208353,11/10/2023 21:36:48,1697060205906,-7,11/10/2023 14:36:45,121155,36,questionnaire-yepb,,32181329,BLIND,9517268,,complete,,65271323205901c8adac8338,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1664x1110,1664x953,,,,Final message,4,SoundCheckPassed,7,test passed,,,,,,,1,,yes,No,4205
1,1697062097579,11/10/2023 22:08:17,1697062097444,-4,11/10/2023 18:08:17,121155,36,questionnaire-yepb,,32181628,BLIND,9517339,,complete,,652718a12fedf0f9cc2c726c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1337x688,,,,Final message,4,SoundCheckPassed,6,test passed,,,,,,7,,,yes,No,1963
1,1697062973917,11/10/2023 22:22:53,1697062973617,-4,11/10/2023 18:22:53,121155,36,questionnaire-yepb,,32181748,BLIND,9517397,,complete,,65271cf088536666f206ea2b,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1280x800,1272x644,,,,Final message,4,SoundCheckPassed,5,test passed,,,,,1,,,,yes,No,3220
1,1697087796825,12/10/2023 05:16:36,1697087797477,-5,12/10/2023 00:16:37,121155,36,questionnaire-yepb,,32183736,BLIND,9518007,,complete,,65277c18b3da1f971c693ce8,computer,Desktop or Laptop,Windows 10,Opera 102.0.0.0,1920x1080,1879x939,,,,Final message,4,SoundCheckPassed,4,test passed,,,,3,,,,,yes,No,2994
1,1697121670961,12/10/2023 14:41:10,1697121670737,-4,12/10/2023 10:41:10,121155,36,questionnaire-yepb,,32200317,BLIND,9521750,,complete,,652802e3e3d4520066279d25,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1200x800,1200x651,,,,Final message,4,SoundCheckPassed,3,test passed,,,1,,,,,,yes,No,2489
1,1697136056215,12/10/2023 18:40:56,1697136057363,-7,12/10/2023 11:40:57,121155,36,questionnaire-yepb,,32207102,BLIND,9523784,,complete,,65283a9b10174ed117239cd7,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1681x948,1680x943,,,,Final message,4,SoundCheckPassed,3,test passed,,,4,,,,,,yes,No,4004
1,1697152821286,12/10/2023 23:20:21,1697152821062,-7,12/10/2023 16:20:21,121155,36,questionnaire-yepb,,32210298,BLIND,9524953,,complete,,6528787a4d0244062549da3c,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.2,1440x900,1440x724,,,,Final message,4,SoundCheckPassed,2,test passed,,6,,,,,,,yes,No,2367
