Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,randomiser-dxqf,randomiser-ibiw,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
13,1697854392055,21/10/2023 02:13:12,1697854391978,-4,20/10/2023 22:13:11,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,4,success,advancementZone,continue_button,1123.3999999761581,,,,,0,1,0,,,,,,Task
14,1697854392182,21/10/2023 02:13:12,1697854391991,-4,20/10/2023 22:13:11,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,6,move,Zone1,timelimit_screen,16.601999999998952,,,,,0,1,0,,,1,,,Task
15,1697854392182,21/10/2023 02:13:12,1697854391994,-4,20/10/2023 22:13:11,121155,36,task-znzu,,32393006,BLIND,9585510,,complete,,6533330b9ff08900c5f6b7db,computer,Desktop or Laptop,Windows 10,Chrome 118.0.0.0,1920x1080,1920x955,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,3,test passed,,,7,,,,,,yes,Spreadsheet1,,,END TASK,,,,,9745,,,,,0,1,0,,,,,,
1,1697911686306,21/10/2023 18:08:06,1697911686587,-5,21/10/2023 13:08:06,121155,36,task-znzu,,32402557,BLIND,9588796,,complete,,653413344c4cee10658074b0,computer,Desktop or Laptop,Windows 10,Firefox 118.0,2560x1440,2560x1315,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,5,test passed,,,,,2,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1697911742659,21/10/2023 18:09:02,1697911742868,-5,21/10/2023 13:09:02,121155,36,task-znzu,,32402557,BLIND,9588796,,complete,,653413344c4cee10658074b0,computer,Desktop or Laptop,Windows 10,Firefox 118.0,2560x1440,2560x1315,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,5,test passed,,,,,2,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,56255,,,,,0,1,0,,,,,,Prompt
3,1697911742907,21/10/2023 18:09:02,1697911742879,-5,21/10/2023 13:09:02,121155,36,task-znzu,,32402557,BLIND,9588796,,complete,,653413344c4cee10658074b0,computer,Desktop or Laptop,Windows 10,Firefox 118.0,2560x1440,2560x1315,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,5,test passed,,,,,2,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,sraba_check,Zone4,content_web_audio,1,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task
4,1697911745254,21/10/2023 18:09:05,1697911745570,-5,21/10/2023 13:09:05,121155,36,task-znzu,,32402557,BLIND,9588796,,complete,,653413344c4cee10658074b0,computer,Desktop or Laptop,Windows 10,Firefox 118.0,2560x1440,2560x1315,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,5,test passed,,,,,2,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,sraba_check,Zone4,content_web_audio,2692,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Task
5,1697911751987,21/10/2023 18:09:11,1697911752160,-5,21/10/2023 13:09:12,121155,36,task-znzu,,32402557,BLIND,9588796,,complete,,653413344c4cee10658074b0,computer,Desktop or Laptop,Windows 10,Firefox 118.0,2560x1440,2560x1315,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,5,test passed,,,,,2,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,sraba_check,Zone1,response_rating_scale_likert_active,9282,,,1,1,1,0,0,,,,,,Task
6,1697911752128,21/10/2023 18:09:12,1697911752168,-5,21/10/2023 13:09:12,121155,36,task-znzu,,32402557,BLIND,9588796,,complete,,653413344c4cee10658074b0,computer,Desktop or Laptop,Windows 10,Firefox 118.0,2560x1440,2560x1315,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,5,test passed,,,,,2,,,,yes,Spreadsheet1,Spreadsheet1,2,1,2,tado_check,Zone4,content_web_audio,1,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task
7,1697911758667,21/10/2023 18:09:18,1697911758983,-5,21/10/2023 13:09:18,121155,36,task-znzu,,32402557,BLIND,9588796,,complete,,653413344c4cee10658074b0,computer,Desktop or Laptop,Windows 10,Firefox 118.0,2560x1440,2560x1315,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,5,test passed,,,,,2,,,,yes,Spreadsheet1,Spreadsheet1,2,1,2,tado_check,Zone1,response_rating_scale_likert_active,6816,,,7,1,1,0,0,,,,,,Task
8,1697911758801,21/10/2023 18:09:18,1697911758993,-5,21/10/2023 13:09:18,121155,36,task-znzu,,32402557,BLIND,9588796,,complete,,653413344c4cee10658074b0,computer,Desktop or Laptop,Windows 10,Firefox 118.0,2560x1440,2560x1315,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,5,test passed,,,,,2,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,yana_check,Zone4,content_web_audio,1,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task
9,1697911760822,21/10/2023 18:09:20,1697911761121,-5,21/10/2023 13:09:21,121155,36,task-znzu,,32402557,BLIND,9588796,,complete,,653413344c4cee10658074b0,computer,Desktop or Laptop,Windows 10,Firefox 118.0,2560x1440,2560x1315,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,5,test passed,,,,,2,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,yana_check,Zone1,response_rating_scale_likert_active,2128,,,4,1,1,0,0,,,,,,Task
10,1697911762203,21/10/2023 18:09:22,1697911762524,-5,21/10/2023 13:09:22,121155,36,task-znzu,,32402557,BLIND,9588796,,complete,,653413344c4cee10658074b0,computer,Desktop or Laptop,Windows 10,Firefox 118.0,2560x1440,2560x1315,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,5,test passed,,,,,2,,,,yes,Spreadsheet1,Spreadsheet1,2,1,4,success,advancementZone,continue_button,1399,,,,,0,1,0,,,,,,Task
11,1697911762346,21/10/2023 18:09:22,1697911762527,-5,21/10/2023 13:09:22,121155,36,task-znzu,,32402557,BLIND,9588796,,complete,,653413344c4cee10658074b0,computer,Desktop or Laptop,Windows 10,Firefox 118.0,2560x1440,2560x1315,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,5,test passed,,,,,2,,,,yes,Spreadsheet1,Spreadsheet1,2,1,6,move,Zone1,timelimit_screen,1,,,,,0,1,0,,,1,,,Task
12,1697911762346,21/10/2023 18:09:22,1697911762548,-5,21/10/2023 13:09:22,121155,36,task-znzu,,32402557,BLIND,9588796,,complete,,653413344c4cee10658074b0,computer,Desktop or Laptop,Windows 10,Firefox 118.0,2560x1440,2560x1315,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,5,test passed,,,,,2,,,,yes,Spreadsheet1,,,END TASK,,,,,75961,,,,,0,1,0,,,,,,
1,1697917419029,21/10/2023 19:43:39,1697917419274,-5,21/10/2023 14:43:39,121155,36,task-znzu,,32403653,BLIND,9589138,,complete,,653429262d29dfe51b1bf774,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1368x912,1320x774,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,3,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1697917492609,21/10/2023 19:44:52,1697917492922,-5,21/10/2023 14:44:52,121155,36,task-znzu,,32403653,BLIND,9589138,,complete,,653429262d29dfe51b1bf774,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1368x912,1320x774,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,3,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,73559.19999992847,,,,,0,1,0,,,,,,Prompt
3,1697917492752,21/10/2023 19:44:52,1697917492938,-5,21/10/2023 14:44:52,121155,36,task-znzu,,32403653,BLIND,9589138,,complete,,653429262d29dfe51b1bf774,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1368x912,1320x774,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,3,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,sraba_check,Zone4,content_web_audio,2.600000023841858,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task
4,1697917500522,21/10/2023 19:45:00,1697917500838,-5,21/10/2023 14:45:00,121155,36,task-znzu,,32403653,BLIND,9589138,,complete,,653429262d29dfe51b1bf774,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1368x912,1320x774,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,3,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,sraba_check,Zone1,response_rating_scale_likert_active,7900.200000047684,,,1,1,1,0,0,,,,,,Task
5,1697917500877,21/10/2023 19:45:00,1697917500880,-5,21/10/2023 14:45:00,121155,36,task-znzu,,32403653,BLIND,9589138,,complete,,653429262d29dfe51b1bf774,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1368x912,1320x774,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,3,,,yes,Spreadsheet1,Spreadsheet1,2,1,2,tado_check,Zone4,content_web_audio,22.699999928474426,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task
6,1697917502831,21/10/2023 19:45:02,1697917503172,-5,21/10/2023 14:45:03,121155,36,task-znzu,,32403653,BLIND,9589138,,complete,,653429262d29dfe51b1bf774,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1368x912,1320x774,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,3,,,yes,Spreadsheet1,Spreadsheet1,2,1,2,tado_check,Zone1,response_rating_scale_likert_active,2313.7999999523163,,,7,1,1,0,0,,,,,,Task
7,1697917503021,21/10/2023 19:45:03,1697917503200,-5,21/10/2023 14:45:03,121155,36,task-znzu,,32403653,BLIND,9589138,,complete,,653429262d29dfe51b1bf774,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1368x912,1320x774,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,3,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,yana_check,Zone4,content_web_audio,1.899999976158142,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task
8,1697917505524,21/10/2023 19:45:05,1697917505854,-5,21/10/2023 14:45:05,121155,36,task-znzu,,32403653,BLIND,9589138,,complete,,653429262d29dfe51b1bf774,computer,Desktop or Laptop,Windows 10,Edge 117.0.2045.60,1368x912,1320x774,,,,Guided Test Run Phonotactics,13,SoundCheckPassed,6,test passed,,,,,,3,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,yana_check,Zone1,response_rating_scale_likert_active,2656,,,4,1,1,0,0,,,,,,Task
