word,bucket_q,uni_prob,bi_prob_smoothed
m1 e1 g e,uni3-bi4,-15.518929093228984,-14.08172961340976
g a m1 e1,uni3-bi4,-15.513997502147502,-13.33825236550048
k u s1 o1,uni3-bi4,-15.514306148597887,-12.606222767247022
k1 u1 b e,uni3-bi4,-15.492805306248986,-11.865956821618209
r1 i1 d o,uni3-bi4,-15.309750322514796,-10.942813575745364
k1 u1 d o,uni3-bi4,-15.213878352258408,-10.482144453740638
x1 o1 t e,uni3-bi4,-15.317255072864262,-14.111959611240868
u1 e1 g a,uni3-bi4,-15.305617571138892,-13.371822123224025
m1 e1 r e,uni3-bi4,-15.354075229475422,-12.653522584487735
r1 a1 b a,uni3-bi4,-15.32666674205904,-11.80280149713898
r1 e1 ɾ a,uni3-bi4,-15.117217278147224,-11.373288411622804
f1 i1 d o,uni3-bi4,-15.157136922006424,-10.480345148866052
b i k1 e1,uni3-bi4,-15.142360198616156,-14.060726298029335
r1 i1 ɾ o,uni3-bi4,-15.138318449892523,-13.37323040720608
f1 a1 m o,uni3-bi4,-15.12702682054096,-12.579319070226688
r1 i1 d e,uni3-bi4,-15.12100846036792,-11.8363953714163
k1 u1 d e,uni3-bi4,-15.025136490111535,-11.375726249411573
f1 a1 d o,uni3-bi4,-14.900057978641575,-10.715068878639622
x1 e1 d a,uni3-bi4,-14.96143623956108,-14.10444300241371
g1 o1 ɾ e,uni3-bi4,-14.95113703536624,-13.359660982467748
s1 e1 x e,uni3-bi4,-14.956855273774863,-12.599909486241671
f1 e1 ɾ a,uni3-bi4,-14.96460387763885,-11.829570367629689
r1 a1 d a,uni3-bi4,-14.858997925921592,-10.97533356484639
x1 a1 d o,uni3-bi4,-14.725458467941532,-10.590872408983682
l1 u1 t a,uni3-bi4,-14.793934870297637,-14.11886689697296
t1 i1 g o,uni3-bi4,-14.795627421658615,-12.638811654248157
b1 u1 ɾ a,uni3-bi4,-14.830054651153487,-11.85059597517702
p1 e1 m o,uni3-bi4,-14.64904002510157,-11.177842557111047
r1 a1 d e,uni3-bi4,-14.863929517003076,-10.782075724667193
l1 o1 l e,uni3-bi4,-14.576063640768073,-14.103249832469906
t1 e1 r e,uni3-bi4,-14.614603977241238,-13.335680306936135
g1 a1 b e,uni3-bi4,-14.661107309688765,-11.877545355373236
p1 o1 ɾ a,uni3-bi4,-14.556445046940857,-11.070546748934618
r1 a1 d o,uni3-bi4,-15.052671379149947,-9.888493928996258
s o x1 i1,uni4-bi3,-14.142142369602697,-16.20773467550799
l e k1 e1,uni4-bi3,-14.154262532543603,-15.92712861913578
l u ɾ1 a1,uni4-bi3,-14.16126910554144,-15.66090617029643
u1 i1 b a,uni4-bi3,-14.173545803450445,-15.062402566785476
d1 u1 s o,uni4-bi3,-14.142154174654074,-14.740494069452255
d e ɾ1 u1,uni4-bi3,-13.6529947110524,-16.224546411430047
t e k1 i1,uni4-bi3,-13.639020204246776,-15.943539908509344
i a k1 e1,uni4-bi3,-13.61597948311502,-15.642649035359264
l o d1 a1,uni4-bi3,-13.682024033941923,-15.343851408930908
l e l1 a1,uni4-bi3,-13.646933226330876,-15.042962864368238
i e d1 i1,uni4-bi3,-13.217009656812795,-16.19595491145537
n a b1 a1,uni4-bi3,-13.213490531018625,-15.970384401628978
i o d1 a1,uni4-bi3,-13.148672575594825,-15.330460792684963
t o i1 o1,uni4-bi3,-13.185485625748935,-14.720809075143787
i o n1 i1,uni4-bi3,-12.726949620263426,-15.990489926338874
i a n1 e1,uni4-bi3,-12.705848448518127,-15.410044111515544
t o n1 a1,uni4-bi3,-12.66055208843191,-14.773851770103676
n a ɾ1 i1,uni4-bi3,-12.117146070578627,-16.16369317919854
i o ɾ1 i1,uni4-bi3,-12.264938875801182,-15.88756747407033
d e i1 a1,uni4-bi3,-12.216205296532465,-15.68253575378297
s o s1 i1,uni4-bi3,-12.287581999135607,-15.32237034628182
